ts,mAmps
2018-07-08T20:30:14-03:00,237
2018-07-08T20:30:14-03:00,264
2018-07-08T20:30:14-03:00,264
2018-07-08T20:30:14-03:00,237
2018-07-08T20:30:14-03:00,237
2018-07-08T20:30:15-03:00,264
2018-07-08T20:30:15-03:00,237
2018-07-08T20:30:15-03:00,291
2018-07-08T20:30:15-03:00,291
2018-07-08T20:30:15-03:00,264
2018-07-08T20:30:15-03:00,318
2018-07-08T20:30:15-03:00,264
2018-07-08T20:30:15-03:00,318
2018-07-08T20:30:15-03:00,237
2018-07-08T20:30:15-03:00,216
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,237
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,237
2018-07-08T20:30:16-03:00,264
2018-07-08T20:30:16-03:00,237
2018-07-08T20:30:16-03:00,291
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,291
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,264
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:17-03:00,237
2018-07-08T20:30:18-03:00,291
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,216
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,264
2018-07-08T20:30:18-03:00,237
2018-07-08T20:30:18-03:00,237
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,264
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,291
2018-07-08T20:30:19-03:00,237
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:20-03:00,291
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:20-03:00,291
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,264
2018-07-08T20:30:20-03:00,237
2018-07-08T20:30:21-03:00,237
2018-07-08T20:30:21-03:00,318
2018-07-08T20:30:21-03:00,291
2018-07-08T20:30:21-03:00,237
2018-07-08T20:30:21-03:00,264
2018-07-08T20:30:21-03:00,291
2018-07-08T20:30:21-03:00,264
2018-07-08T20:30:21-03:00,264
2018-07-08T20:30:21-03:00,216
2018-07-08T20:30:21-03:00,237
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,291
2018-07-08T20:30:22-03:00,237
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,291
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,264
2018-07-08T20:30:22-03:00,237
2018-07-08T20:30:22-03:00,237
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,291
2018-07-08T20:30:23-03:00,264
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,237
2018-07-08T20:30:23-03:00,264
2018-07-08T20:30:23-03:00,264
