ts,mAmps
2018-07-08T12:35:24-03:00,264
2018-07-08T12:35:24-03:00,237
2018-07-08T12:35:24-03:00,237
2018-07-08T12:35:24-03:00,237
2018-07-08T12:35:24-03:00,237
2018-07-08T12:35:24-03:00,264
2018-07-08T12:35:25-03:00,237
2018-07-08T12:35:25-03:00,237
2018-07-08T12:35:25-03:00,264
2018-07-08T12:35:25-03:00,237
2018-07-08T12:35:25-03:00,291
2018-07-08T12:35:25-03:00,264
2018-07-08T12:35:25-03:00,237
2018-07-08T12:35:25-03:00,372
2018-07-08T12:35:25-03:00,291
2018-07-08T12:35:25-03:00,291
2018-07-08T12:35:26-03:00,237
2018-07-08T12:35:26-03:00,291
2018-07-08T12:35:26-03:00,264
2018-07-08T12:35:26-03:00,264
2018-07-08T12:35:26-03:00,291
2018-07-08T12:35:26-03:00,291
2018-07-08T12:35:26-03:00,264
2018-07-08T12:35:26-03:00,291
2018-07-08T12:35:26-03:00,291
2018-07-08T12:35:26-03:00,264
2018-07-08T12:35:27-03:00,291
2018-07-08T12:35:27-03:00,264
2018-07-08T12:35:27-03:00,291
2018-07-08T12:35:27-03:00,291
2018-07-08T12:35:27-03:00,264
2018-07-08T12:35:27-03:00,291
2018-07-08T12:35:27-03:00,264
2018-07-08T12:35:27-03:00,264
2018-07-08T12:35:27-03:00,291
2018-07-08T12:35:27-03:00,291
2018-07-08T12:35:28-03:00,291
2018-07-08T12:35:28-03:00,318
2018-07-08T12:35:28-03:00,264
2018-07-08T12:35:28-03:00,291
2018-07-08T12:35:28-03:00,264
2018-07-08T12:35:28-03:00,291
2018-07-08T12:35:28-03:00,264
2018-07-08T12:35:28-03:00,291
2018-07-08T12:35:28-03:00,291
2018-07-08T12:35:28-03:00,264
2018-07-08T12:35:29-03:00,264
2018-07-08T12:35:29-03:00,291
2018-07-08T12:35:29-03:00,291
2018-07-08T12:35:29-03:00,291
2018-07-08T12:35:29-03:00,291
2018-07-08T12:35:29-03:00,291
2018-07-08T12:35:29-03:00,291
2018-07-08T12:35:29-03:00,264
2018-07-08T12:35:29-03:00,264
2018-07-08T12:35:29-03:00,264
2018-07-08T12:35:30-03:00,264
2018-07-08T12:35:30-03:00,264
2018-07-08T12:35:30-03:00,264
2018-07-08T12:35:30-03:00,264
2018-07-08T12:35:30-03:00,237
2018-07-08T12:35:30-03:00,291
2018-07-08T12:35:30-03:00,291
2018-07-08T12:35:30-03:00,291
2018-07-08T12:35:30-03:00,291
2018-07-08T12:35:30-03:00,318
2018-07-08T12:35:31-03:00,264
2018-07-08T12:35:31-03:00,264
2018-07-08T12:35:31-03:00,291
2018-07-08T12:35:31-03:00,291
2018-07-08T12:35:31-03:00,264
2018-07-08T12:35:31-03:00,291
2018-07-08T12:35:31-03:00,237
2018-07-08T12:35:31-03:00,264
2018-07-08T12:35:31-03:00,291
2018-07-08T12:35:31-03:00,291
2018-07-08T12:35:32-03:00,264
2018-07-08T12:35:32-03:00,264
2018-07-08T12:35:32-03:00,291
2018-07-08T12:35:32-03:00,264
2018-07-08T12:35:32-03:00,291
2018-07-08T12:35:32-03:00,291
2018-07-08T12:35:32-03:00,318
2018-07-08T12:35:32-03:00,264
2018-07-08T12:35:32-03:00,291
2018-07-08T12:35:32-03:00,291
2018-07-08T12:35:33-03:00,291
2018-07-08T12:35:33-03:00,264
2018-07-08T12:35:33-03:00,318
2018-07-08T12:35:33-03:00,318
2018-07-08T12:35:33-03:00,291
2018-07-08T12:35:33-03:00,291
2018-07-08T12:35:33-03:00,264
2018-07-08T12:35:33-03:00,264
2018-07-08T12:35:33-03:00,264
2018-07-08T12:35:33-03:00,237
2018-07-08T12:35:34-03:00,264
2018-07-08T12:35:34-03:00,264
2018-07-08T12:35:34-03:00,291
2018-07-08T12:35:34-03:00,291
2018-07-08T12:35:34-03:00,291
2018-07-08T12:35:34-03:00,291
2018-07-08T12:35:34-03:00,264
2018-07-08T12:35:34-03:00,264
2018-07-08T12:35:34-03:00,264
2018-07-08T12:35:34-03:00,264
2018-07-08T12:35:35-03:00,291
2018-07-08T12:35:35-03:00,291
2018-07-08T12:35:35-03:00,291
2018-07-08T12:35:35-03:00,291
2018-07-08T12:35:35-03:00,264
2018-07-08T12:35:35-03:00,291
2018-07-08T12:35:35-03:00,318
2018-07-08T12:35:35-03:00,264
2018-07-08T12:35:35-03:00,291
2018-07-08T12:35:35-03:00,264
2018-07-08T12:35:36-03:00,264
2018-07-08T12:35:36-03:00,291
2018-07-08T12:35:36-03:00,237
2018-07-08T12:35:36-03:00,318
2018-07-08T12:35:36-03:00,291
2018-07-08T12:35:36-03:00,291
2018-07-08T12:35:36-03:00,291
2018-07-08T12:35:36-03:00,264
2018-07-08T12:35:36-03:00,237
2018-07-08T12:35:36-03:00,264
2018-07-08T12:35:37-03:00,318
2018-07-08T12:35:37-03:00,318
2018-07-08T12:35:37-03:00,291
2018-07-08T12:35:37-03:00,318
2018-07-08T12:35:37-03:00,237
2018-07-08T12:35:37-03:00,237
2018-07-08T12:35:37-03:00,291
2018-07-08T12:35:37-03:00,264
2018-07-08T12:35:37-03:00,237
2018-07-08T12:35:37-03:00,291
2018-07-08T12:35:38-03:00,264
2018-07-08T12:35:38-03:00,318
2018-07-08T12:35:38-03:00,264
2018-07-08T12:35:38-03:00,264
2018-07-08T12:35:38-03:00,318
2018-07-08T12:35:38-03:00,264
2018-07-08T12:35:38-03:00,264
2018-07-08T12:35:38-03:00,264
2018-07-08T12:35:38-03:00,237
2018-07-08T12:35:38-03:00,264
2018-07-08T12:35:39-03:00,237
2018-07-08T12:35:39-03:00,264
2018-07-08T12:35:39-03:00,264
2018-07-08T12:35:39-03:00,264
2018-07-08T12:35:39-03:00,264
2018-07-08T12:35:39-03:00,264
2018-07-08T12:35:39-03:00,291
2018-07-08T12:35:39-03:00,291
2018-07-08T12:35:39-03:00,291
2018-07-08T12:35:40-03:00,264
2018-07-08T12:35:40-03:00,291
2018-07-08T12:35:40-03:00,291
2018-07-08T12:35:40-03:00,264
2018-07-08T12:35:40-03:00,291
2018-07-08T12:35:40-03:00,291
2018-07-08T12:35:40-03:00,291
2018-07-08T12:35:40-03:00,264
2018-07-08T12:35:40-03:00,318
2018-07-08T12:35:40-03:00,291
2018-07-08T12:35:41-03:00,264
2018-07-08T12:35:41-03:00,264
2018-07-08T12:35:41-03:00,291
2018-07-08T12:35:41-03:00,318
2018-07-08T12:35:41-03:00,291
2018-07-08T12:35:41-03:00,264
2018-07-08T12:35:41-03:00,264
2018-07-08T12:35:41-03:00,291
2018-07-08T12:35:41-03:00,291
2018-07-08T12:35:41-03:00,264
2018-07-08T12:35:42-03:00,264
2018-07-08T12:35:42-03:00,291
2018-07-08T12:35:42-03:00,237
2018-07-08T12:35:42-03:00,345
2018-07-08T12:35:42-03:00,264
2018-07-08T12:35:42-03:00,264
2018-07-08T12:35:42-03:00,264
2018-07-08T12:35:42-03:00,318
2018-07-08T12:35:42-03:00,291
2018-07-08T12:35:42-03:00,291
2018-07-08T12:35:43-03:00,264
2018-07-08T12:35:43-03:00,291
2018-07-08T12:35:43-03:00,291
2018-07-08T12:35:43-03:00,264
2018-07-08T12:35:43-03:00,264
2018-07-08T12:35:43-03:00,264
2018-07-08T12:35:43-03:00,291
2018-07-08T12:35:43-03:00,291
2018-07-08T12:35:43-03:00,318
2018-07-08T12:35:43-03:00,264
2018-07-08T12:35:44-03:00,291
2018-07-08T12:35:44-03:00,264
2018-07-08T12:35:44-03:00,264
2018-07-08T12:35:44-03:00,291
2018-07-08T12:35:44-03:00,291
2018-07-08T12:35:44-03:00,291
2018-07-08T12:35:44-03:00,291
2018-07-08T12:35:44-03:00,264
2018-07-08T12:35:44-03:00,264
2018-07-08T12:35:44-03:00,237
2018-07-08T12:35:45-03:00,264
2018-07-08T12:35:45-03:00,264
2018-07-08T12:35:45-03:00,291
2018-07-08T12:35:45-03:00,318
2018-07-08T12:35:45-03:00,318
2018-07-08T12:35:45-03:00,264
2018-07-08T12:35:45-03:00,318
2018-07-08T12:35:45-03:00,264
2018-07-08T12:35:45-03:00,264
2018-07-08T12:35:45-03:00,291
2018-07-08T12:35:46-03:00,291
2018-07-08T12:35:46-03:00,264
2018-07-08T12:35:46-03:00,291
2018-07-08T12:35:46-03:00,291
2018-07-08T12:35:46-03:00,264
2018-07-08T12:35:46-03:00,264
2018-07-08T12:35:46-03:00,318
2018-07-08T12:35:46-03:00,264
2018-07-08T12:35:46-03:00,264
2018-07-08T12:35:46-03:00,291
2018-07-08T12:35:47-03:00,264
2018-07-08T12:35:47-03:00,264
2018-07-08T12:35:47-03:00,264
2018-07-08T12:35:47-03:00,264
2018-07-08T12:35:47-03:00,264
2018-07-08T12:35:47-03:00,291
2018-07-08T12:35:47-03:00,318
2018-07-08T12:35:47-03:00,237
2018-07-08T12:35:47-03:00,264
2018-07-08T12:35:47-03:00,264
2018-07-08T12:35:48-03:00,237
2018-07-08T12:35:48-03:00,264
2018-07-08T12:35:48-03:00,264
2018-07-08T12:35:48-03:00,264
2018-07-08T12:35:48-03:00,291
2018-07-08T12:35:48-03:00,264
2018-07-08T12:35:48-03:00,264
2018-07-08T12:35:48-03:00,264
2018-07-08T12:35:48-03:00,264
2018-07-08T12:35:48-03:00,237
2018-07-08T12:35:49-03:00,264
2018-07-08T12:35:49-03:00,237
2018-07-08T12:35:49-03:00,264
2018-07-08T12:35:49-03:00,291
2018-07-08T12:35:49-03:00,264
2018-07-08T12:35:49-03:00,291
2018-07-08T12:35:49-03:00,291
2018-07-08T12:35:49-03:00,291
2018-07-08T12:35:49-03:00,291
2018-07-08T12:35:49-03:00,237
2018-07-08T12:35:50-03:00,291
2018-07-08T12:35:50-03:00,318
2018-07-08T12:35:50-03:00,264
2018-07-08T12:35:50-03:00,264
2018-07-08T12:35:50-03:00,264
2018-07-08T12:35:50-03:00,291
2018-07-08T12:35:50-03:00,318
2018-07-08T12:35:50-03:00,291
2018-07-08T12:35:50-03:00,291
2018-07-08T12:35:50-03:00,291
2018-07-08T12:35:51-03:00,291
2018-07-08T12:35:51-03:00,318
2018-07-08T12:35:51-03:00,264
2018-07-08T12:35:51-03:00,318
2018-07-08T12:35:51-03:00,318
2018-07-08T12:35:51-03:00,318
2018-07-08T12:35:51-03:00,291
2018-07-08T12:35:51-03:00,264
2018-07-08T12:35:51-03:00,237
2018-07-08T12:35:51-03:00,291
2018-07-08T12:35:52-03:00,264
2018-07-08T12:35:52-03:00,264
2018-07-08T12:35:52-03:00,291
2018-07-08T12:35:52-03:00,318
2018-07-08T12:35:52-03:00,291
2018-07-08T12:35:52-03:00,318
2018-07-08T12:35:52-03:00,291
2018-07-08T12:35:52-03:00,291
2018-07-08T12:35:52-03:00,291
2018-07-08T12:35:52-03:00,237
2018-07-08T12:35:53-03:00,264
2018-07-08T12:35:53-03:00,264
2018-07-08T12:35:53-03:00,318
2018-07-08T12:35:53-03:00,291
2018-07-08T12:35:53-03:00,264
2018-07-08T12:35:53-03:00,291
2018-07-08T12:35:53-03:00,291
2018-07-08T12:35:53-03:00,237
2018-07-08T12:35:53-03:00,291
2018-07-08T12:35:53-03:00,291
